filename,author,title,doi,language,bertopic_topic,bertopic_prob
1000_oms_2017.pdf,F. Xavier Oms,"First Evidence of Collective Human Inhumation from the Cardial Neolithic (Cova Bonica, Barcelona, NE Iberian Peninsula)",10.1080/00934690.2016.1260407,en,2,1.0
1001_HierrosAntiguos_2017.pdf,,01_ok.qxd,10.15366/cupauam2017.43.003,es,2,0.8883011603710014
1002_gibaja2016.pdf,,12520_2015_311_Article 1..11,10.1007/s12520-015-0311-y,en,2,0.7685770578672477
1003_La_cronologia_radiocarbonica_de_las_primeras_manif_2017.pdf,"Gonzalo Aranda Jiménez, Águeda Lozano Medina, María Dolores Camalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angelique Nonza-Micaelli, Xavier Clop García","La cronología radiocarbónica de las primeras manifestaciones megalíticas en el sureste de la Península Ibérica: las necrópolis de Las Churuletas, La Atalaya y Llano del Jautón (Purchena, Almería); The radiocarbon chronology of the oldest megalithic monuments in southeastern Iberia: the necropolises of Las Churuletas, La Atalaya and Llano del Jautón (Purchena, Almería)",10.3989/tp.2017.12194,es,2,1.0
1004_AsMamelasIberCrono_2017.pdf,Igor Bogdanovic,"La cronología en As Mamelas (Sanxenxo, Pontevedra) como ejemplo de yacimiento al aire libre de la Prehistoria Reciente gallega",10.3989/tp.2005.v62.i2.74,es,2,0.8563145930396224
"1006_La revolució neolítica. La Draga, el poblat dels prodigis_2017.pdf",,"# **La Draga, el poblat dels prodigis**",10.1016/j.quaint.2016.05.024_,ca,1,0.7639258517738365
1007_Peñon_IberCrono_2017.pdf,Gabriel,"# **La secuencia crono-cultural del yacimiento de Peñón de la Zorra (Villena, Alicante)**",,es,2,1.0
1008_TafonomiaMarcoMetodologico_2017.pdf,"Borja González-Rabanal, Manuel Ramón González-Morales, Ana B. Marín-Arroyo","La tafonomía como marco metodológico para interpretar depósitos funerarios superficiales: estudio de la cueva sepulcral de El Espinoso (Ribadedeva, Asturias); Taphonomy as a methodological framework for understanding surface funerary deposits: the human burial at the cave of El Espinoso (Ribadedeva, Asturias)",10.3989/tp.2017.12195,es,2,1.0
1009_KOBIE_Paleoantropologia_2017.pdf,,"LOS ENTERRAMIENTOS EN CISTA EN EL PIRINEO OCCIDENTAL: ARQUITECTURA, CRONOLOGÍA, RITUAL Y CARACTERIZACIÓN DE LOS INHUMADOS EN LA SIERRA DE ARALAR (GIPUZKOA) 57",,es,2,1.0
1010_IberCrono_2017.pdf,Igor Bogdanovic,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/321826096",10.3989/tp.2014.12128,es,0,1.0
1011_Neolothic ditched_2017.pdf,Bóris,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/322147317",10.1002/oa.2502,en,2,0.8876895814840852
